LineStarId,Name,Position,Team,Salary,Projected,Scored,IsOverridden,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,DFS_ID,Vegas,VegasML,VegasTotals,VegasImplied
1210591,Lonzo Ball,PG,CHI,3500,0,0,0,16,30,43.91,27.12,4,84,0,0,0,0,0,0,0,@MIA,80806,0,0,0.0,0.0,
1210592,Harry Giles,PF/C,BKN,3500,0,0,0,5,30,10.76,1.63,2,0,0,0,0,0,0,0,7.45,@DEN,80819,9.5,360,229.0,109.8,
1210593,Alex Len,C,SAC,3500,0,0,0,15,30,16.45,2.14,4,56.99999999999999,0,0,0,0,0,0,9.62,vs OKC,15814,-2,-130,243.0,122.5,
1210594,Lamar Stevens,PF,BOS,3500,0,0,0,15,30,15.95,0.53,2,66,0,0,0,0,0,0,3.7,vs CLE,145357,-8.5,-400,226.0,117.3,
1210595,Olivier Sarr,C,OKC,3500,0,0,0,1,30,26.34,0.07,2,65,0,0,0,0,0,0,10.1,@SAC,163280,2,110,243.0,120.5,
1210596,Lindy Waters,SG,OKC,3500,4.46,0,0,29,30,13.16,1.8,2,61,2.12,0,17,0,3,0,5.02,@SAC,165854,2,110,243.0,120.5,
1210597,Justin Minaya,SF,POR,3500,0,0,0,30,30,14.91,0,2,38,0,0,0,0,0,0,2.5,vs UTA,184831,0,0,0.0,0.0,
1210598,Brice Sensabaugh,SF,UTA,3500,0,0,0,5,30,1.2,1.2,2,0,0,0,0,0,0,0,2.4,@POR,188413,0,0,0.0,0.0,
1211072,Luka Doncic,PG,DAL,12600,64.24,0,0,15,30,71.74,41.18,1,91,17.54,0,95,56,7,0,57.01,vs MIN,84669,0,0,0.0,0.0,
1211073,Nikola Jokic,C,DEN,12400,58.08,0,0,5,30,77.95,43.49,1,92,8.86,0,96,26,1,0,59.73,vs BKN,55062,-9.5,-500,229.0,119.3,
1211074,Shai Gilgeous-Alexander,PG,OKC,11400,54.46,0,0,16,30,66.31,47.66,1,92,9,0,93,25,3,0,55.21,@SAC,84680,2,110,243.0,120.5,
1211075,De'Aaron Fox,PG,SAC,9900,45.48,0,0,23,30,61.89,33.26,1,88,5.5,0,86,13,1,0,46.89,vs OKC,80810,-2,-130,243.0,122.5,
1211076,Jayson Tatum,PF/SF,BOS,9800,43.89,0,0,13,30,55.27,34.11,1,90,7.44,0,82,16,1,0,45.37,vs CLE,80808,-8.5,-400,226.0,117.3,
1211077,Donovan Mitchell,SG/PG,CLE,9700,39.33,0,0,6,30,54.04,34.66,1,89,4.16,0,77,8,0,0,46.2,@BOS,66113,8.5,300,226.0,108.8,
1211078,Domantas Sabonis,C/PF,SAC,9600,42.96,0,0,17,30,58.92,34.71,1,91,7.83,0,81,17,6,0,45.54,vs OKC,59358,-2,-130,243.0,122.5,
1211079,Bam Adebayo,C,MIA,9300,30.08,0,0,23,30,57.89,30.18,2,88,9.23,0,57,14,-3,0,44.11,vs CHI,80817,0,0,0.0,0.0,
1211080,Kawhi Leonard,SF/PF,LAC,9000,44.71,0,0,15,30,52.11,31.97,1,91,11.36,0,84,25,7,0,40.96,vs GS,14513,0,0,0.0,0.0,
1211081,Stephen Curry,PG,GS,8900,42.75,0,0,19,30,47.7,33.87,1,91,14.4,0,78,31,4,0,41.34,@LAC,9524,0,0,0.0,0.0,
1211082,Anthony Edwards,SG/SF,MIN,8800,28.6,0,0,5,30,55,26.22,2,87,10.28,0,55,15,-4,0,40.39,@DAL,145321,0,0,0.0,0.0,
1211083,Jimmy Butler,SF/PF,MIA,8700,43.61,0,0,29,30,46.71,30.27,1,87,39.2,0,57,85,2,0,37.63,vs CHI,14528,0,0,0.0,0.0,
1211084,Paul George,SG/SF,LAC,8600,38.63,0,0,4,30,48.61,27.77,1,88,8.72,0,76,17,-1,0,39.47,vs GS,12341,0,0,0.0,0.0,
1211085,Karl-Anthony Towns,PF/C,MIN,8500,41.26,0,0,20,30,50.64,30.55,1,88,13.11,0,78,27,5,0,38.84,@DAL,58462,0,0,0.0,0.0,
1211086,Kyrie Irving,PG/SG,DAL,8400,0,0,0,2,30,49.25,28.38,4,88,0,0,0,0,0,0,38.55,vs MIN,14498,0,0,0.0,0.0,
1211087,Lauri Markkanen,PF/SF,UTA,8400,40.97,0,0,27,30,50.36,29.46,1,90,8,0,83,16,0,0,39.91,@POR,80812,0,0,0.0,0.0,
1211088,Anfernee Simons,SG/PG,POR,8300,37.78,0,0,21,30,38.64,21.3,1,87,41.64,0,49,79,2,0,39.2,vs UTA,84717,0,0,0.0,0.0,
1211089,Rudy Gobert,C,MIN,8300,39.61,0,0,18,30,48.57,26.36,1,87,2.32,0,85,5,2,0,37.06,@DAL,40203,0,0,0.0,0.0,
1211090,Nikola Vucevic,C,CHI,8200,37.11,0,0,1,30,47.43,27.87,1,88,4.26,0,79,8,2,0,36.88,@MIA,14514,0,0,0.0,0.0,
1211091,DeMar DeRozan,SF,CHI,8200,39.36,0,0,20,30,47.53,31.47,1,89,31.86,0,60,63,5,0,38.4,@MIA,9714,0,0,0.0,0.0,
1211092,Kristaps Porzingis,PF/C,BOS,8100,33,0,0,13,30,44.84,24.54,1,88,5.31,0,70,9,1,0,35.62,vs CLE,63122,-8.5,-400,226.0,117.3,
1211093,James Harden,SG/PG,LAC,8100,41.44,0,0,4,30,44.84,28.08,1,88,11.76,0,82,24,6,0,35.78,vs GS,9644,0,0,0.0,0.0,
1211094,Mikal Bridges,SG/SF,BKN,8000,37.95,0,0,15,30,51.45,25.69,1,89,14,0,73,27,1,0,37.96,@DEN,84670,9.5,360,229.0,109.8,
1211095,Chet Holmgren,C,OKC,8000,38.1,0,0,19,30,48.18,28.33,1,88,2.98,0,83,6,11,0,38.13,@SAC,171759,2,110,243.0,120.5,
1211096,Darius Garland,PG,CLE,7900,40.07,0,0,11,30,46.95,25.19,1,89,11.7,0,80,23,8,0,34.85,@BOS,110342,8.5,300,226.0,108.8,
1211097,Jaylen Brown,SF/SG,BOS,7900,35.74,0,0,12,30,43.82,27.81,1,89,5.64,0,76,10,0,0,35.98,vs CLE,67026,-8.5,-400,226.0,117.3,
1211098,Shaedon Sharpe,SF/SG,POR,7800,37.25,0,0,25,30,41.86,21.35,1,84,9.36,0,77,17,2,0,32.35,vs UTA,171804,0,0,0.0,0.0,
